Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0."
I1415,I1415,AG84/2,petrous,2016,LazaridisNature2016,Direct: IntCal20; date suspect because C:N ratio of 4.15,9827,132,"8176-7608 calBCE (8790±50 BP, Poz-81101)",..,Jordan_PPNB,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,3,0.040037,45439,24214,M,n/a (no relatives detected),..,..,10.035307,T1a2,"[0.952,0.996]",..,..,"ds.half,ds.half,ds.half","S1415.E1.L1,S1415.E1.L2,S1415.E1.L3",PASS,..
I1701,I1701,AG83_3 (AG83 3075 044 burial B),petrous,2016,LazaridisNature2016,Direct: IntCal20,9600,57,"7752-7543 calBCE (8620±50 BP, Poz-81094)",..,Jordan_PPNB,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,2,0.018066,20076,10517,F,n/a (no relatives detected),n/a (female),n/a (female),7.87718,K,"[0.937,0.987]",..,..,"ds.half,ds.half","S1701.E1.L1,S1701.E1.L3",PASS,..
I1709,I1709,"AG84_8 (AG 84 3083 116, skull cache)",petrous,2016,LazaridisNature2016,Context: Archaeological - Period,10050,115,8300-7900 BCE,..,Jordan_PPNB_lc,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,1,0.012,13967,7511,M,n/a (no relatives detected),..,..,1.62,n/a (<2x),n/a (<2x),0.205,0.455,ds.half,S1709.E1.L1,PASS,..
I1679_enhanced,I1679,AG037C; AG93 CF 3883 037,petrous,2016,LazaridisAlpaslanRoodenbergScience2022 (higher coverage of previously reported individual from LazaridisNature2016),Context: Archaeological - Period,8800,29,6900-6800 BCE,..,Jordan_PPNC,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,1,0.053378,58202,31248,F,n/a (no relatives detected),n/a (female),n/a (female),1.76,n/a (<2x),n/a (<2x),0.231,0.018508997,ds.half,S1679.E1.L1,PASS,..
I1699,I1699,"AG84_5 (AG84 4453 048, north skeleton)",petrous,2016,LazaridisNature2016,Context: Archaeological - Period,8700,29,6800-6700 BCE,..,Jordan_PPNC,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,1,0.309,290291,155273,F,"Jordan, 'Ain Ghazal Family A (2 members) (I1708 and I1699 are 1st degree relatives)",n/a (female),n/a (female),32.4,R0a2,"[0.958,0.976]",0.11,0.011,ds.half,S1699.E1.L1,PASS,"mtcontam=[0.958,0.976]"
I1679,I1679,AG037C,petrous,2016,LazaridisNature2016,Context: Archaeological - Period,8800,29,6900-6800 BCE,..,Jordan_PPNC,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,1,0.04,45376,24279,F,n/a (no relatives detected),n/a (female),n/a (female),2.18,R,"[0.759,0.902]",0.146,0.017,ds.half,S1679.E1.L1,QUESTIONABLE,"mtcontam=[0.759,0.902]"
I1407,I1407,ARE12.1,tooth (molar),2016,LazaridisNature2016,Context: Archaeological - Period,5875,245,4350-3500 BCE,..,Armenia_C,Areni 1,Armenia,39.73,45.2,Repulldown on 3.2M snpset,1240K,1,2.164,775366,417416,M,n/a (no relatives detected),..,L1a,554,H,"[0.996,1.000]",0.063,0.408,ds.half,S1407.E1.L1,PASS,..
I1409,I1409,ARE20,..,2016,LazaridisNature2016,Direct: IntCal20,6047,75,"4230-3984 calBCE (5260±30 BP, Poz-81110)",..,Armenia_C,Areni 1,Armenia,39.73,45.2,Repulldown on 3.2M snpset,1240K,1,0.083,91779,49057,F,n/a (no relatives detected),n/a (female),n/a (female),22.2,U4a,"[0.987,0.999]",0.052,0.013,ds.half,S1409.E1.L1,PASS,..
I1631,I1631,"AR1/43C (1003, Square R23, Burial N1)",petrous,2016,LazaridisNature2016,Direct: IntCal20,6099,66,"4311-4049 calBCE (5323±30 BP, OxA-19332)",8±2,Armenia_C,Areni 1,Armenia,39.73,45.2,Repulldown on 3.2M snpset,1240K,1,3.202,814980,443582,F,n/a (no relatives detected),n/a (female),n/a (female),468,K1a8,"[0.994,0.998]",0.055,0.015,ds.half,S1631.E1.L1,PASS,..
I1632,I1632,"AR1/46 (1004,Square P23, Burial N3)",petrous,2016,LazaridisNature2016,Direct: IntCal20,6076,66,"4236-3994 calBCE (5285±29 BP, OxA-18599)",15±3,Armenia_C,Areni 1,Armenia,39.73,45.2,Repulldown on 3.2M snpset,1240K,1,2.963,795773,433336,M,n/a (no relatives detected),..,..,267,K,"[0.990,0.996]",0.067,0.411,ds.half,S1632.E1.L1,PASS,..
I1634,I1634,"AR1/44 (1003,Square R22,Burial N2)",petrous,2016,LazaridisNature2016,Direct: IntCal20,6156,80,"4330-4056 calBCE (5366±31 BP, OxA-19331)",..,Armenia_C,Areni 1,Armenia,39.73,45.2,Repulldown on 3.2M snpset,1240K,1,1.833,735609,398404,M,n/a (no relatives detected),..,..,482,H2a1,"[0.995,1.000]",0.066,0.415,ds.half,S1634.E1.L1,PASS,..
I1633,I1633,"KA1/14 (Kalavan 1,2006, Tomb 9)",petrous,2016,LazaridisNature2016,Direct: IntCal20,4465,48,"2621-2354 calBCE (3990±35 BP, Poz-22234)",adult ,Armenia_EBA,Kalavan,Armenia,40.65,45.1167,Repulldown on 3.2M snpset,1240K,1,3.342,827122,448906,F,n/a (no relatives detected),n/a (female),n/a (female),429,H1u,"[0.953,0.976]",0.157,0.013,ds.half,S1633.E1.L1,PASS,"mtcontam=[0.953,0.976]"
I1635,I1635,"KA1/12 (Kalavan 1, 2005, Tomb 1)",petrous,2016,LazaridisNature2016,Direct: IntCal20,4476,46,"2623-2461 calBCE (4005±35 BP, Poz-81102)",..,Armenia_EBA,Kalavan,Armenia,40.65,45.1167,Repulldown on 3.2M snpset,1240K,1,2.877,800238,431809,M,n/a (no relatives detected),..,"R1b1x(R1b1a1, R1b1a2, R1b1c2, R1b1c3) ",483,X2f,"[0.997,1.000]",0.093,0.416,ds.half,S1635.E1.L1,PASS,..
I1658,I1658,"TA3/R8 (Talin 3, R8, tomb 115, skull 1)",petrous,2016,LazaridisNature2016,Direct: IntCal20,5162,80,"3350-3041 calBCE (4492±29 BP, OxA-31874)",..,Armenia_EBA,Talin,Armenia,40.382958,43.873663,Repulldown on 3.2M snpset,1240K,1,3.408,813263,439296,F,"Armenia, Talin Family A (2 members) (I1657-I1658 have a mother-daughter relationship [order unknown])",n/a (female),n/a (female),596,U3a2a,"[0.992,0.998]",0.131,0.015,ds.half,S1658.E1.L1,PASS,..
I1656,I1656,"Kat16 (Katnaghbyur, 2013, Tomb 1)",petrous,2016,LazaridisNature2016,Direct: IntCal20,3397,32,"1502-1402 calBCE (3168±27 BP, OxA-31674)",..,Armenia_MBA,Katnaghbiur 1,Armenia,40.377222,43.938333,Repulldown on 3.2M snpset,1240K,1,3.507,828797,449721,F,n/a (no relatives detected),n/a (female),n/a (female),404,T1a2,"[0.994,0.998]",0.077,0.013,ds.half,S1656.E1.L1,PASS,..
Bul6,Bul6,"Barrow 5, Structure 3, Individual 1",tooth,2018,MathiesonNature2018,Context: Archaeological - Period,4450,520,3400-1600 BCE,..,Bulgaria_BeliBreyag_EBA,"Nova Zagora, Beli Breyag",Bulgaria,42.429624,25.898354,Repulldown on 3.2M snpset,1240K,..,0.823,377194,207695,M,n/a (no relatives detected),..,..,..,..,..,..,..,ds.plus,..,PASS,..
Bul8,Bul8,"Barrow 5, Structure 3, Individual 2",tooth,2018,MathiesonNature2018,Context: Archaeological - Period,4450,520,3400-1600 BCE,..,Bulgaria_BeliBreyag_EBA,"Nova Zagora, Beli Breyag",Bulgaria,42.429624,25.898354,Repulldown on 3.2M snpset,1240K,..,0.017,18835,10082,M,n/a (no relatives detected),..,..,..,..,..,..,..,ds.plus,..,PASS,..
Bul4,Bul4,Mound 2 grave 1,tooth,2018,MathiesonNature2018,Direct: IntCal20,4895,38,"3011-2898 calBCE (4333±20 BP, MAMS-26834)",..,Bulgaria_EBA_Yamnaya_o,"Nova Zagora, Mednikarovo",Bulgaria,42.4296241,25.8983541,Repulldown on 3.2M snpset,1240K,..,0.75,379376,209208,M,n/a (no relatives detected),..,..,..,..,..,..,..,ds.plus,..,PASS,finds EEF ancestry
RISE21_noUDG.SG,RISE21,"barrow 4 central grave, N skeleton #1",tooth,2015,AllentoftNature2015,Direct: IntCal20,3301,44,"1426-1272 calBCE (3092±29 BP, OxA-28047)",..,Denmark_BA.SG,Karlstrup,Denmark,55.55,12.209,Repulldown on 3.2M snpset,Shotgun,1,0.023,26656,15624,M,n/a (no relatives detected),..,..,..,N1a1a1a2,..,..,..,ds.minus,RISE21,PASS,..
RISE47_noUDG.SG,RISE47,N 358 grave 3 skeleton 8,tooth,2015,AllentoftNature2015,Direct: IntCal20,3380,38,"1499-1322 calBCE (3153±26 BP, OxA-28258)",..,Denmark_BA.SG,Sebber skole,Denmark,56.97,9.552,Repulldown on 3.2M snpset,Shotgun,1,0.105,100839,56870,M,n/a (no relatives detected),..,..,..,I,..,..,..,ds.minus,RISE47,PASS,..
RISE276_noUDG.SG,RISE276,bog find 1940,tooth,2015,AllentoftNature2015,Direct: IntCal20,2612,74,"789-546 calBCE (2525±25 BP, OxA-30485)",..,Denmark_LBA.SG,Trundholm II,Denmark,55.914,11.565,Repulldown on 3.2M snpset,Shotgun,1,0.083,90564,53184,M,n/a (no relatives detected),..,..,..,T2b,..,..,..,ds.minus,RISE276,PASS,..
RISE42_noUDG.SG,RISE42,"PMD 98, III",tooth,2015,AllentoftNature2015,Direct: IntCal20,4021,52,"2193-1971 calBCE (3681±28 BP, OxA-28225)",..,Denmark_LN_o.SG,Marbjerg,Denmark,55.657,12.148,Repulldown on 3.2M snpset,Shotgun,1,0.016,18293,10484,M,n/a (no relatives detected),..,..,..,H3v+16093,..,..,..,ds.minus,RISE42,PASS,..
RISE71_noUDG.SG,RISE71,"PMD 57, I",tooth,2015,AllentoftNature2015,Direct: IntCal20,4040,48,"2197-1983 calBCE (3701±26 BP, OxA-28269)",..,Denmark_LN.SG,Falshöj,Denmark,56.676,10.034,Repulldown on 3.2M snpset,Shotgun,1,0.26,198374,113816,F,n/a (no relatives detected),n/a (female),n/a (female),..,H3b,..,..,..,ds.minus,RISE71,PASS,..
RISE61_noUDG.SG,RISE61,"PMD 17, V, N chamber lower layer",tooth,2015,AllentoftNature2015,Direct: IntCal20,4569,89,"2848-2492 calBCE (4071±27 BP, OxA-28296)",..,Denmark_MN_B.SG,Kyndelöse,Denmark,55.703,11.855,Repulldown on 3.2M snpset,Shotgun,1,0.318,283860,157356,M,n/a (no relatives detected),..,..,..,J1c4,..,..,..,ds.minus,RISE61,PASS,..
JK2888,JK2888,1573,tooth,2017,ScheunemannNatureCommunications2017,Direct: IntCal20,1997,43,"151 calBCE - 23 calCE (2050±24 BP, MAMS-23575)",..,Egypt_Ptolemaic_contam,Abusir-el Meleq,Egypt,29.9,31.2,Repulldown on 3.2M snpset,1240K,..,0.201752,191563,96998,M,n/a (no relatives detected),..,..,..,U6a2,..,..,..,half,..,QUESTIONABLE_CRITICAL,"Xcontam=[0.022,0.124]"
JK2134,JK2134,1605,..,2017,ScheunemannNatureCommunications2017,Direct: IntCal20,2609,72,"787-546 calBCE (2522±24 BP, MAMS-23047)",..,Egypt_ThirdIntermediatePeriod,Abusir-el Meleq,Egypt,29.9,31.2,Repulldown on 3.2M snpset,1240K,..,0.117729,126372,63822,M,n/a (no relatives detected),..,..,..,J1d,..,..,..,half,..,PASS,..
JK2911,JK2911,1609,..,2017,ScheunemannNatureCommunications2017,Direct: IntCal20,2602,70,"779-544 calBCE (2513±24 BP, MAMS-23617)",..,Egypt_ThirdIntermediatePeriod,Abusir-el Meleq,Egypt,29.9,31.2,Repulldown on 3.2M snpset,1240K,..,0.880832,504708,254877,M,n/a (no relatives detected),..,..,..,M1a1,..,..,..,half,..,PASS,..
Chaudardes1_noUDG,Chaudardes1,Chaudardes1,bone (long bone),2016,FuNature2016,Direct: IntCal20,8218,86,"6400-6086 calBCE (7400±60 BP, GrA-28268)",..,France_Chaudardes,Chaudardes,France,49.24,3.46,Repulldown on 3.2M snpset,1240K,2,0.046,84371,45041,M,n/a (no relatives detected),..,I,..,U5b1b,..,..,..,"ds.minus,ds.half","CRCsnp,MA169snp",PASS,manual.QC
SATP_noUDG.SG,SATP,Satsurblia,petrous,2015,JonesNatureCommunications2015,Direct: IntCal20,13282,61,"11461-11225 calBCE (11415±50 BP, OxA-34632)",..,Georgia_Satsurblia.SG,Satsurblia,Georgia,42.38,42.59,Repulldown on 3.2M snpset,Shotgun,..,1.191,682335,353007,M,n/a (no relatives detected),..,..,..,K3,..,..,..,ds.minus,..,PASS,..
I0108,I0108,ROT6,tooth,2015,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015),Direct: IntCal20,4399,80,"2575-2297 calBCE (3953±47 BP, Erl-8710)",adult,Germany_BellBeaker,Rothenschirmbach,Germany,51.45,11.54,1240K pulldown padded to 3.2M snpset,1240K,3,1.197,735134,403234,F,n/a (no relatives detected),n/a (female),n/a (female),271.808981,H5a3,"[0.992,1]",..,..,"ds.plus,ds.half,ds.plus","S0108.L1,S0816.L1,S1217.L1",PASS,..
I0111,I0111,ROT4,tooth,2015,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015),Direct: IntCal20,4303,79,"2474-2201 calBCE (3881±50 BP, Erl-8712)",..,Germany_BellBeaker,Rothenschirmbach,Germany,51.45,11.54,1240K pulldown padded to 3.2M snpset,1240K,2,0.731,539767,323922,F,"Germany, Rothenschirmbach Family A (2 members) (I1530-I0111 are 1st degree relatives )",n/a (female),n/a (female),188.260668,H3ao,"[0.991,1]",..,..,"ds.plus,ds.half","S0111.L1,S0815.L1",PASS,..
I0112,I0112,QUEXII6,tooth,2015,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015),Direct: IntCal20,4224,80,"2455-2141 calBCE (3820±42 BP, Erl-7038)",..,Germany_BellBeaker,Quedlinburg Site XII,Germany,51.791,11.141,Repulldown on 3.2M snpset,1240K,1,3.768,948580,536275,F,n/a (no relatives detected),n/a (female),n/a (female),227.673245,H13a1a2,"[0.991,0.999]",..,..,ds.plus,S0112.L1,PASS,..
I0113,I0113,QUEXII4,tooth,2015,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015),Direct: IntCal20,4146,85,"2396-2034 calBCE (3773±47 BP, Erl-7283)",..,Germany_BellBeaker,Quedlinburg Site XII,Germany,51.791,11.141,1240K pulldown padded to 3.2M snpset,1240K,2,0.777,585608,319538,F,n/a (no relatives detected),n/a (female),n/a (female),8.427183,J1c5,"[0.899,0.974]",..,..,"ds.plus,ds.half","S0113.L1,S0814.L1",PASS,"mtcontam=[0.899,0.974]"
I0806,I0806,QLB28,tooth,2015,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015),Direct: IntCal20,4217,58,"2433-2147 calBCE (3824±25 BP, MAMS-22820)",..,Germany_BellBeaker,Quedlinburg Site VII,Germany,51.79,11.14,Repulldown on 3.2M snpset,1240K,1,0.13,133159,49435,M,n/a (no relatives detected),..,R1b1a2a1a2,268,H1,"[0.997,1.000]",0.084,0.546,ds.half,S0806.L1,PASS,..
I1546,I1546,BZH2,tooth,2015,MathiesonNature2015,Context: Archaeological - Period,4225,130,2500-2050 BCE,..,Germany_BellBeaker,Benzingerode-Heimburg,Germany,51.82,10.91,Repulldown on 3.2M snpset,1240K,1,0.143,149522,78917,F,n/a (no relatives detected),n/a (female),n/a (female),195.599734,U5a1b1,"[0.995,1]",0.089,..,ds.half,S1546.L1,PASS,..
I1549,I1549,BZH15,tooth,2015,MathiesonNature2015,Context: Archaeological - Period,4225,130,2500-2050 BCE,..,Germany_BellBeaker,Benzingerode-Heimburg,Germany,51.82,10.91,Repulldown on 3.2M snpset,1240K,1,2.357,779855,420500,F,n/a (no relatives detected),n/a (female),n/a (female),163,W1c1,"[0.947,0.960]",0.144,0.008,ds.half,S1549.L1,PASS,"mtcontam=[0.947,0.96]"
I1530,I1530,ROT1,tooth,2015,MathiesonNature2015,Direct: IntCal20,4222,87,"2456-2140 calBCE (3818±48 BP, Erl-8715)",..,Germany_BellBeaker_1d.rel.I0111,Rothenschirmbach,Germany,51.45,11.54,Repulldown on 3.2M snpset,1240K,1,0.028,31753,16789,M,"Germany, Rothenschirmbach Family A (2 members) (I1530-I0111 are 1st degree relatives )",..,R1,148.841994,H3ao,"[0.99,1]",0.092,..,ds.half,S1530.L1,PASS,..
I0805,I0805,QLB26,tooth,2015,MathiesonNature2015,Direct: IntCal20,4252,92,"2465-2142 calBCE (3839±55 BP, Erl-8558)",..,Germany_BellBeaker_contam,Quedlinburg Site VII,Germany,51.79,11.14,Repulldown on 3.2M snpset,1240K,1,0.232,215441,79345,M,n/a (no relatives detected),..,R1b1a2,199,H1,"[0.981,0.992]",0.094,0.143,ds.half,S0805.L1,QUESTIONABLE_CRITICAL,sexratio=0.143
I0060,I0060,ROT3,tooth,2015,MathiesonNature2015,Direct: IntCal20,4214,57,"2404-2146 calBCE (3822±25 BP, MAMS-22819)",..,Germany_BellBeaker,Rothenschirmbach,Germany,51.45,11.54,Repulldown on 3.2M snpset,1240K,1,0.105,121032,72898,F,n/a (no relatives detected),n/a (female),n/a (female),..,K1a2c,..,..,..,ds.plus,aL0109,PASS,..
I0171,I0171,BZH12,tooth,2015,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015),Direct: IntCal20,4118,66,"2288-2039 calBCE (3758±33 BP, KIA-27952)",..,Germany_BenzigerodeHeimburg_LN,Benzingerode-Heimburg,Germany,51.82,10.91,Repulldown on 3.2M snpset,1240K,1,0.143,146159,94760,F,n/a (no relatives detected),n/a (female),n/a (female),160.013399,U5a1a2a,"[0.986,0.998]",..,..,ds.plus,S0471.L1,PASS,..
