Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0."
I4427_noUDG,I4427,FGA2 (Individual #1),bone (long bone),2017,LipsonSawchukNature2022 (higher coverage individual first published in SkoglundCell2017),Direct: SHCal20,6009,72,"4227-3965 calBCE (5270±25 BP, UCIAMS-186346)",juvenile,Malawi_Fingira_LSA_6000BP_noUDG,Fingira,Malawi,-10.786153,33.765371,1240K pulldown padded to 3.2M snpset,1240K,3,0.323463,308943,165633,M,n/a (no relatives detected),..,..,10.083047,L0d1b2b,"[0.974,0.994]",..,..,"ds.minus,ds.half,ds.half","S4427.E1.L1,S4427.E1.L2,S4427.E1.L3",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,..
I1525,I1525,"Mos99, Specimen 13, 172 | Mos99 (Specimen 13, 172)","bone,tooth",2019,FlegontovNature2019,"Direct (WARNING NEED R_combine, NEED MARINE CALIBRATE IN Intcal20): IntCal13 by Thomas Harper after marine correction, need to include new date of (2535±25 BP, PSUAMS-3740) which is not marine corrected",1695,113,"60-450 calCE (2560±20 BP, PSUAMS-1962)",..,Russia_Uelen_OldBeringSea,"Uelen Chukotka, Bering Strait",Russia,66.161126,-169.822297,Repulldown on 3.2M snpset,1240K,2,3.455726,881545,482368,F,n/a (no relatives detected),n/a (female),n/a (female),666.022874,A2a,"[0.996,1]",..,..,"ds.half,ds.half","S1525.E1.L1,S7758.E1.L1",PASS,damage.ds.half=0.029-0.034
I8435_old7,I8435,27G-2017,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,10700,144,9000-8500 BCE,Juvenile,Turkey_PPNA_lc,"Boncuklu Tarla (Southeast, Mardin, Dargeçit, Ilısu)",Turkey,37.52,41.84,Repulldown on 3.2M snpset,1240K,4,0.004,4647,2451,F,n/a (no relatives detected),n/a (female),n/a (female),0.854065,n/a (<2x),n/a (<2x),0.208,0.044,"ds.half,ss.half,ss.half,ss.half","S8435.E1.L1,S8435.E1.L6,S8435.E1.L7,S8435.E1.L8",QUESTIONABLE,"mtcontam=[0.677,0.969], 2500.to.5000.SNPs, sex.ratio=0.044"
I13835,I13835,"1236; Tumulus 2, grave 7, 6",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,246,64,"1644-1797 calCE (235±15 BP, PSUAMS-8291)",adult; 30-40 yrs.,Albania_EarlyModern_oCaucasus,"Barç (Southeast, Korça Basin) ",Albania,40.625278,20.801111,Repulldown on 3.2M snpset,1240K,3,10.378,1000133,537405,F,"Albania, Bar� Family A (2 members) (I13837-I13835 have a mother-daughter relationship (order unknown))",n/a (female),n/a (female),941.690446,U3b1,"[0.972,0.99]",0.124,0.009268717,"ds.half,ss.half,ss.half","S13835.Y1.E1.L1,S20787.Y1.E1.L1,S20791.Y1.E1.L1",PASS,..
I7090,I7090,FCS AS2 10497 (Skeleton 3; Burial 1) | FCS AS2 10498 (Skeleton 3; Burial 1),bone (phalanx),2018,PosthNakatsukaCell2018,Direct: SHCal20,7162,100,"5462-5014 calBCE (6300±70 BP, AA-7966)",..,Argentina_ArroyoSeco2_7200BP,Arroyo Seco II,Argentina,-38.3605556,-60.2441667,Repulldown on 3.2M snpset,1240K,2,0.204794,213964,115430,M,"Argentina, Arroyo Seco II Family A (2 members) (I7090-I1748 have a 1d or 2d relationship)",..,..,15.592613,C1c,"[0.939,0.983]",..,..,"ds.half,ds.half","S7090.E1.L1,S7091.E1.L1",QUESTIONABLE_CRITICAL,..
I1748,I1748,ASOB1S3a,tooth (molar),2018,PosthNakatsukaCell2018,Direct: SHCal20,7162,100,"5462-5014 calBCE (6300±70 BP, AA-7966)",..,Argentina_ArroyoSeco2_7200BP_1d.or.2d.rel.I7090,Arroyo Seco II,Argentina,-38.3605556,-60.2441667,Repulldown on 3.2M snpset,1240K,1,0.023,26520,14318,M,"Argentina, Arroyo Seco II Family A (2 members) (I7090-I1748 have a 1d or 2d relationship)",..,..,4.37,C1c,"[0.880,0.920]",0.059,0.43,ds.half,S1748.L1,QUESTIONABLE,"mtcontam=[0.88,0.92]"
I7088,I7088,AS6 (Burial 2; Displays N° 3 ),bone,2018,PosthNakatsukaCell2018,Direct: SHCal20,7428,70,"5620-5336 calBCE (6560±60 BP, LP-186)",..,Argentina_ArroyoSeco2_7400BP_contam,Arroyo Seco II,Argentina,-38.3605556,-60.2441667,Repulldown on 3.2M snpset,1240K,1,0.02659,30457,16192,F,n/a (no relatives detected),n/a (female),n/a (female),4.02,A2,"[0.643,0.729]",0.047,0.007,ds.half,S7088.E1.L1,QUESTIONABLE_CRITICAL,"damage.ss.half=0.047, mtcontam=[0.643,0.729]"
I0308,I0308,ASO_B2_S6(9)+ASO_B2_S19 (ASO_B12_S19 (previously named ASO_B2_S6(9)+ASO_B2_S19)),tooth (molar),2018,PosthNakatsukaCell2018,Direct: SHCal20,7428,70,"5620-5336 calBCE (6560±60 BP, LP-186)",..,Argentina_ArroyoSeco2_7700BP,Arroyo Seco II,Argentina,-38.3605556,-60.2441667,1240K pulldown padded to 3.2M snpset,1240K,2,0.53,446927,244791,M,n/a (no relatives detected),..,..,91.984549,A2+(64),"[0.984,0.996]",..,..,"ds.plus,ds.half","S0352.L1,S1350.L1",PASS,damage.ds.half=0.012-0.092
I0309,I0309,SC1_L126; ASOB9S14a,tooth (premolar),2018,PosthNakatsukaCell2018,Direct: SHCal20,7652,71,"5881-5561 calBCE (6838±73 BP, AA-67738)",..,Argentina_ArroyoSeco2_7700BP,Arroyo Seco II,Argentina,-38.3605556,-60.2441667,Repulldown on 3.2M snpset,1240K,1,0.823,569183,304030,M,n/a (no relatives detected),..,..,179,D1,"[0.977,0.987]",0.086,0.428,ds.half,S1351.L1,PASS,..
I2230,I2230,SC13_L295_AS2_36,bone (long bone),2018,PosthNakatsukaCell2018,Direct: SHCal20,8574,125,"7026-6433 calBCE (7805±85 BP, AA-106014)",..,Argentina_ArroyoSeco2_7700BP,Arroyo Seco II,Argentina,-38.3605556,-60.2441667,Repulldown on 3.2M snpset,1240K,2,1.686,813622,433255,M,n/a (no relatives detected),..,..,242.28324,C1b,"[0.985,0.998]",..,..,"ds.half,ds.half","S2276.L1,S2230.L1",PASS,..
I2232,I2232,SC7_L204_AS2 49,tooth (molar),2018,PosthNakatsukaCell2018,Direct: SHCal20,8373,65,"6570-6252 calBCE (7612±53 BP, AA-106013)",..,Argentina_ArroyoSeco2_7700BP,Arroyo Seco II,Argentina,-38.3605556,-60.2441667,Repulldown on 3.2M snpset,1240K,2,0.027,31605,16782,M,n/a (no relatives detected),..,..,35.70819,C1b,"[0.988,0.999]",..,..,"ds.half,ds.half","S2232.L1,S2277.L1",PASS,..
I7086,I7086,AS15 (Burial 10; Displays N° 5 ),bone,2018,PosthNakatsukaCell2018,Direct: SHCal20; R_combine,7758,58,"5971-5718 calBCE (6959±43) [R_combine: (7000±80 BP, TO-1503); (6970±60 BP, CAMS-16170); (6880±90 BP, NZA-1101)]",..,Argentina_ArroyoSeco2_7700BP,Arroyo Seco II,Argentina,-38.3605556,-60.2441667,Repulldown on 3.2M snpset,1240K,1,0.100361,110981,59246,F,n/a (no relatives detected),n/a (female),n/a (female),6.15,D1g,"[0.972,1.000]",0.087,0.009,ds.half,S7086.E1.L1,PASS,..
I12941,I12941,23JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,160,115,"1560-1960 calCE (555±20 BP, PSUAMS-6678)",..,Argentina_BeagleChannel_Yamana_100BP,"Beagle Channel, Tierra del Fuego, Almanza",Argentina,-54.85,-67.57,Repulldown on 3.2M snpset,1240K,1,4.024405,824182,455539,M,n/a (no relatives detected),..,..,422,C1b,"[0.989,0.999]",0.018,0.407,ds.half,S12941.Y1.E1.L1,PASS,"damage.ds.half=0.018, mitigated.because.recent"
I12942,I12942,27JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,60,43,"1810-1960 calCE (490±25 BP, PSUAMS-6679)",..,Argentina_BeagleChannel_Yamana_100BP,"Beagle Channel, Tierra del Fuego, Acatushún",Argentina,-54.87,-67.33,Repulldown on 3.2M snpset,1240K,1,0.287915,284105,156957,F,n/a (no relatives detected),n/a (female),n/a (female),415,C1b,"[0.997,1.000]",0.031,0.009,ds.half,S12942.Y1.E1.L1,PASS,damage.ds.half=0.031
I12943,I12943,22JM,tooth (premolar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,180,118,"1550-1960 calCE (570±20 BP, PSUAMS-6680)",..,Argentina_BeagleChannel_Yamana_100BP,"Beagle Channel, Tierra del Fuego, Almanza",Argentina,-54.85,-67.57,Repulldown on 3.2M snpset,1240K,1,3.669419,835204,458719,F,n/a (no relatives detected),n/a (female),n/a (female),238.5,C1b,"[0.985,0.997]",0.05,0.007,ds.half,S12943.Y1.E1.L1,PASS,..
I12355,I12355,32JM,tooth (premolar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,1490,98,"260-600 calCE (1975±25 BP, PSUAMS-6673)",..,Argentina_BeagleChannel_Yamana_1500BP,"Beagle Channel, Tierra del Fuego, Río Pipo",Argentina,-54.85,-68.52,Repulldown on 3.2M snpset,1240K,1,2.694989,649225,353455,M,n/a (no relatives detected),..,..,1155,C1b,"[0.994,1.000]",0.058,0.415,ds.half,S12355.Y1.E1.L1,PASS,..
I8351,I8351,"SC50_L764, LCH.E4.4",petrous,2020,NakatsukaCell2020,Direct (WARNING NEED TO MANUALLY CALIBRATE IN SHCal20): SHCal13 marine calibrated by Brendan Culleton,1630,39,"250-385 calCE (1750±15 BP, UCIAMS-185301)",..,Argentina_LagunaChica_1600BP,"Pampas, Laguna Chica",Argentina,-36.0772222,-62.3472222,Repulldown on 3.2M snpset,1240K,1,1.645301,619022,346969,F,n/a (no relatives detected),n/a (female),n/a (female),48.7,D1g+16189,"[0.994,1]",0.058,0.02,ds.half,S8351.L1,PASS,..
I8348,I8348,"SC50_L761, LCH.E2-I2.1",tooth (molar),2018,PosthNakatsukaCell2018,Direct (WARNING NEED TO MANUALLY CALIBRATE IN SHCal20): SHCal13,6875,49,"5010-4840 calBCE (6080±15 BP, UCIAMS-185303)",..,Argentina_LagunaChica_6800BP,"Pampas, Laguna Chica",Argentina,-36.0772222,-62.3472222,Repulldown on 3.2M snpset,1240K,1,0.17882,181851,101989,F,n/a (no relatives detected),n/a (female),n/a (female),7.79,R,"[0.907,0.966]",0.116,0.024,ds.half,S8348.L1,PASS,"mtcontam=[0.907,0.966]"
I8349,I8349,"SC50_L762, LCH.E2-I1.2",petrous,2018,PosthNakatsukaCell2018,Direct (WARNING NEED TO MANUALLY CALIBRATE IN SHCal20): SHCal13,6715,38,"4830-4700 calBCE (5930±15 BP, UCIAMS-185302)",..,Argentina_LagunaChica_6800BP,"Pampas, Laguna Chica",Argentina,-36.0772222,-62.3472222,Repulldown on 3.2M snpset,1240K,1,0.775523,390870,221072,F,n/a (no relatives detected),n/a (female),n/a (female),30.7,C1b,"[0.939,0.99]",0.112,0.022,ds.half,S8349.L1,PASS,..
I8350,I8350,"SC50_L763, LCH.E1.3",petrous,2018,PosthNakatsukaCell2018,Context: Archaeological - Period,7700,722,7000-4500 BCE,..,Argentina_LagunaChica_6800BP,"Pampas, Laguna Chica",Argentina,-36.0772222,-62.3472222,Repulldown on 3.2M snpset,1240K,1,0.059485,60494,34069,M,n/a (no relatives detected),..,..,..,A2,..,0.202,..,ds.half,S8350.L1,PASS,..
I12376,I12376,75JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct: SHCal20,2333,127,"736-194 calBCE (2369±52 BP, UGAMS-16601)",..,Argentina_LagunaToro_2400BP,"Southwest of Buenos Aires, Laguna Toro",Argentina,-38.84,-61.42,Repulldown on 3.2M snpset,1240K,1,0.182844,190166,101692,F,n/a (no relatives detected),n/a (female),n/a (female),143.6,A2+(64),"[0.976,0.992]",0.079,0.007,ds.half,S12376.Y1.E1.L1,PASS,..
I12356,I12356,41JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,280,107,"1450-1820 calCE (650±20 BP, PSUAMS-6674)",..,Argentina_MitrePeninsula_Haush_400BP,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina,-54.7,-65.35,Repulldown on 3.2M snpset,1240K,1,1.220655,620077,344628,M,n/a (no relatives detected),..,..,840.5,D1,"[0.996,1.000]",0.049,0.394,ds.half,S12356.Y1.E1.L1,PASS,damage.ds.half=0.049
I12357,I12357,42JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,330,98,"1470-1810 calCE (530±45 BP, PSUAMS-6675)",..,Argentina_MitrePeninsula_Haush_400BP,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina,-54.7,-65.35,Repulldown on 3.2M snpset,1240K,1,1.028975,581308,314341,F,n/a (no relatives detected),n/a (female),n/a (female),1108,D1g+16189,"[0.987,0.998]",0.051,0.012,ds.half,S12357.Y1.E1.L1,PASS,..
